Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,El Omrane,1155,OUED EL SEBAI,115556,Oued El Sebai 1,1155561,Urban,408.1,126.4,149545.766666667
Grand Tunis,Tunis,11,El Omrane,1155,OUED EL SEBAI,115556,Oued El Sebai 6,1155566,Urban,408.1,126.4,151586.266666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN I,115651,Cité Ibn Khaldoun I 5,1156515,Urban,411.235294117647,124.647058823529,155274.843137255
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN I,115651,Cité Ibn Khaldoun I 6,1156516,Urban,411.235294117647,124.647058823529,155686.078431373
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN I,115651,Cité Ibn Khaldoun I 7,1156517,Urban,411.235294117647,124.647058823529,156097.31372549
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN I,115651,Cité Ibn Khaldoun I 10,11565110,Urban,411.235294117647,124.647058823529,157331.019607843
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN I,115651,Cité Ibn Khaldoun I 14,11565114,Urban,411.235294117647,124.647058823529,158975.960784314
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN I,115651,Cité Ibn Khaldoun I 16,11565116,Urban,411.235294117647,124.647058823529,159798.431372549
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL ROMANA,115652,El Romana 3,1156523,Urban,417,126.7,161460.666666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL ROMANA,115652,El Romana 10,11565210,Urban,417,126.7,164379.666666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN II,115653,Cité Ibn Khaldoun II 1,1156531,Urban,405.933333333333,135.333333333333,164785.6
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN II,115653,Cité Ibn Khaldoun II 11,11565311,Urban,405.933333333333,135.333333333333,168844.933333333
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN II,115653,Cité Ibn Khaldoun II 13,11565313,Urban,405.933333333333,135.333333333333,169656.8
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN II,115653,Cité Ibn Khaldoun II 14,11565314,Urban,405.933333333333,135.333333333333,170062.733333333
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ IBN KHALDOUN VI,115654,Cité Ibn Khaldoun VI 5,1156545,Urban,404.625,138.875,172491.791666666
